,0,1,2,3,4,5,6
0,"ABEL GOIBURU IRASTORZA
Pequeños elaboradores
Idiazabal (Gipuzkoa)
943187427",https://www.quesoidiazabal.eus/datos/productores/imagen_grande88/goiburu2.JPG,,No disponible,No disponible,https://goo.gl/maps/HMdctu7QcyjozuVS6,No disponible
1,"ADARRAZPI, S.C.
Pastores elaboradores
Urnieta (Gipuzkoa)
647445641
adarrazpi@gmail.com
http://www.adarrazpi.es/",https://www.quesoidiazabal.eus/datos/productores/imagen_grande40/adarrazpi.jpg,"El caserío ADARRAZPI está dedicado a la cría de ovejas con cuya leche elabora queso con Denominación de Origen Idiazabal. Se creó en el año 2005 y es una explotación familiar de oveja latxa ubicado en el barrio Goiburu de Urnieta. Realizan un manejo extensivo por lo que sus ovejas pastan en invierno en Urnieta y en verano suben a la sierra de Aralar. Todos sus productos lácteos están elaborados con leche de su propia explotación.
- Venta directa en quesería
- Envíos por mensajería
- Visitas guiadas: consultar condiciones
Pulsar para la COMPRA DEL QUESO",https://www.facebook.com/profile.php?id=100009932798010,No disponible,No disponible,No disponible
2,"AGERRE BURU S.C.
Pastores elaboradores
AIA (Gipuzkoa)
607 189 442",https://www.quesoidiazabal.eus/datos/productores/imagen_grande134/agerre-buru.jpg,Agerreburu se encuentra en el mismo centro urbano de Aia. Jose Luis lleva 26 años viviendo del pastoreo. Las ovejas suelen pastar en Pagoeta y Ernio Txiki en verano. Producen un queso suave con leche cruda de oveja latxa.,No disponible,No disponible,No disponible,No disponible
3,"AGOITZ ALTZUGARAI MAIA
Pastores elaboradores
Lesaka (Nafarroa/Navarra)
628 117 132
otxuneagazta@gmail.com
https://www.anikuenea.com/otxunea-quesera",https://www.quesoidiazabal.eus/datos/productores/imagen_grande132/otxunea.JPG,,No disponible,No disponible,No disponible,No disponible
4,"AGURTZANE GABIRIA ARGARATE Y OTRO S.C.
Pastores elaboradores
Legazpia (Gipuzkoa)
943 734051 / 677711255
makatzabaserria@gmail.com",https://www.quesoidiazabal.eus/datos/productores/imagen_grande78/makatza.JPG,,No disponible,No disponible,No disponible,https://www.instagram.com/makatza_baserria/
5,"AINHOA GOÑI ORMART
Pastores elaboradores
LESAKA (Nafarroa/Navarra)
670749549
AGORLEKUGAZTAK@GMAIL.COM",https://www.quesoidiazabal.eus/datos/productores/imagen_grande140/agorleku.jpg,,No disponible,No disponible,No disponible,No disponible
6,"AITOR AZKUETA BUENDIA
Pastores elaboradores
Zeberio (Bizkaia)
608.077.253
olarrekoa@gmail.com",https://www.quesoidiazabal.eus/datos/productores/imagen_grande120/olarrekoa.JPG,,No disponible,No disponible,No disponible,No disponible
7,"AITOR IZTUETA BARANDIARAN
Pastores elaboradores
LAZKAO (Gipuzkoa)
678 387 945 - 689 752 851",https://www.quesoidiazabal.eus/datos/productores/imagen_grande129/intzartzu.jpg,,No disponible,No disponible,No disponible,No disponible
8,"AITOR UNAMUNO RUIZ DE AZUA
Pastores elaboradores
BARAJUEN-ARAMAIO (Araba/Álava)
690876278",https://www.quesoidiazabal.eus/datos/productores/imagen_grande148/ibabe_baserrikoa.png,,No disponible,No disponible,No disponible,No disponible
9,"AITOR URIEN
Pastores elaboradores
Abadiño (Bizkaia)
616831096",https://www.quesoidiazabal.eus/datos/productores/imagen_grande24/urien_c.png,,https://www.facebook.com/aitor.urien,No disponible,https://goo.gl/maps/epfcd8oKVPsEjiNd6,https://www.instagram.com/urien.gazta/
10,"AITZARTE E.Z.
Pastores elaboradores
Errezil (Gipuzkoa)
943815224
aitzarte.ez@gmail.com",https://www.quesoidiazabal.eus/datos/productores/imagen_grande41/aitzarte.JPG,"En Aitzarte llevan tres generaciones viviendo del caserío. Llevan toda una vida haciendo quesos.
Las ovejas pastan en los alrededores de casa y en Aralar. Producen un queso maravilloso, elaborado con leche de calidad y cuajo natural.",No disponible,No disponible,No disponible,No disponible
11,"AIXTRA, S.C.
Pastores elaboradores
Araia (Araba/Álava)
689 585 960
ardibide@terra.es",https://www.quesoidiazabal.eus/datos/productores/imagen_grande2/aixtra.jpg,,No disponible,No disponible,No disponible,No disponible
12,"AIZPEA, E.Z.
Pastores elaboradores
Olaberria (Gipuzkoa)
635747970
aizpeagazta@gmail.com",https://www.quesoidiazabal.eus/datos/productores/imagen_grande42/aizpea_u.png,"AIZPEA  es una Sociedad Civil formada por Mikel Etxezarreta Goiburu y Elixabete Arrillaga de Aguirre. Mikel viene de una familia de pastores  de varias generaciones tanto por parte paterna como materna. Eli, en cambio, nació en la ciudad y se incorporó al mundo pastoril en 1.980. 
Cuentan con un rebaño de ovejas latxas y elaboran queso con la leche que producen. Emplean exclusivamente el cuajo natural de sus corderos, lo que le da un sabor especial al queso. Invernan en Olaberria desde finales de Octubre hasta finales de Mayo, y suben a Urbia (1.240 m de altitud) donde viven en la montaña con su rebaño desde finales de Mayo hasta finales de Octubre.
Elaboran dos quesos. 1.- El que elaboran en Olaberria de finales de Enero hasta finales de Mayo y 2.- el que elaboran en su txabola Ttonttor en Urbia (parque natural de Aizkorri).
Este queso tiene el sabor especial que le da el pasto que hay a 1.200metros de altitud. Es un QUESO DE MONTAÑA. Para ello no es suficiente que las ovejas pasten en las zonas de montaña sino que produzcan leche cuando están pastando en la montaña.
- Venta directa en quesería
- Envío por mensajería",https://www.facebook.com/AizpeaGazta,No disponible,No disponible,No disponible
